,index,carat,cut,color,clarity,depth,table,price,x,y,z
37,26126,2.04,5,6,3,63.1,58.0,15412,8.06,7.99,5.06
38,48449,0.55,3,2,5,61.7,55.0,1975,5.27,5.29,3.26
39,51524,0.72,5,6,8,62.7,54.0,2386,5.74,5.8,3.62
40,25077,2.11,4,4,4,62.2,58.0,13598,8.19,8.23,5.11
41,36718,0.4,5,5,7,62.9,56.0,954,4.69,4.72,2.96
42,34232,0.4,5,2,4,63.2,57.0,855,4.68,4.66,2.95
43,32414,0.41,3,1,3,61.6,55.0,791,4.78,4.8,2.95
44,1632,0.7,3,2,5,62.7,57.0,3016,5.65,5.7,3.56
45,23865,1.55,5,3,3,63.1,56.0,11957,7.4,7.38,4.66
46,24573,1.51,4,4,6,62.5,59.0,12872,7.34,7.28,4.57
47,22710,2.06,3,6,4,61.4,57.0,10728,8.22,8.18,5.03
48,35217,0.3,3,3,2,60.9,56.0,892,4.32,4.35,2.64
49,18519,1.35,5,5,6,62.3,57.0,7549,7.06,7.12,4.42
50,36537,0.4,2,6,5,63.8,55.0,945,4.69,4.65,2.98
51,23738,1.83,5,3,3,63.2,56.0,11782,7.78,7.73,4.9
52,3751,0.78,3,1,4,61.4,57.0,3454,5.91,5.94,3.64
53,16971,1.01,5,4,5,58.8,58.0,6777,6.52,6.61,3.86
54,9526,0.9,5,5,8,61.8,60.0,4617,6.11,6.15,3.79
55,14936,1.23,3,7,6,61.2,57.0,6015,6.93,6.88,4.23
56,6916,0.9,4,4,6,62.0,60.0,4137,6.19,6.14,3.82
57,27421,2.32,4,6,3,61.2,58.0,18026,8.57,8.52,5.23
58,5876,0.91,2,3,3,63.7,58.0,3924,6.09,6.02,3.86
59,46507,0.51,3,1,5,62.4,57.0,1779,5.09,5.13,3.19
60,46499,0.4,3,2,7,61.3,56.0,1778,4.75,4.78,2.92
61,41745,0.52,2,3,3,63.8,56.0,1244,5.07,5.12,3.25
62,44422,0.75,4,7,4,62.9,56.0,1588,5.76,5.72,3.61
63,1414,1.06,4,6,4,61.5,57.0,2968,6.57,6.49,4.02
64,34534,0.33,3,4,7,61.5,56.0,868,4.45,4.46,2.74
65,29193,0.38,3,2,3,61.0,56.0,694,4.68,4.69,2.86
66,708,0.68,4,3,8,61.7,57.0,2854,5.67,5.64,3.49
67,45249,0.43,4,1,7,59.6,58.0,1659,4.94,4.89,2.93
68,21603,1.25,4,3,6,60.8,58.0,9702,6.98,6.93,4.23
69,2593,0.64,3,3,8,60.9,56.0,3217,5.57,5.59,3.4
70,8178,1.05,3,7,4,61.3,56.0,4364,6.56,6.59,4.03
71,44329,0.33,4,6,5,59.5,60.0,521,4.5,4.54,2.69
72,9353,1.07,4,4,4,62.1,59.0,4584,6.54,6.48,4.04
73,25127,1.63,4,2,6,61.8,58.0,13678,7.57,7.49,4.65
74,51609,0.79,5,4,3,60.9,63.0,2394,5.89,5.84,3.57
75,33446,0.32,3,4,5,62.9,57.0,828,4.4,4.37,2.76
76,48353,0.56,3,1,6,61.4,57.0,1963,5.32,5.36,3.28
77,28776,0.33,3,1,6,61.8,54.0,681,4.43,4.47,2.75
78,45686,0.54,3,5,8,61.8,56.0,1696,5.25,5.27,3.25
79,22530,1.56,3,3,4,61.2,55.0,10571,7.47,7.57,4.6
80,36364,0.33,3,3,7,61.9,55.0,939,4.46,4.47,2.76
81,51940,0.73,5,2,3,58.6,57.0,2441,5.91,6.0,3.49
82,35855,0.32,3,1,7,62.6,57.0,917,4.34,4.41,2.74
83,46726,0.5,2,1,5,64.3,54.0,1795,5.02,5.06,3.24
84,5572,1.14,4,7,4,60.4,59.0,3861,6.8,6.74,4.09
85,39484,0.41,4,2,5,59.9,58.0,1079,4.83,4.88,2.91
86,32968,0.32,2,5,3,63.7,55.0,461,4.3,4.33,2.75
87,31048,0.42,5,4,3,62.0,54.0,751,4.8,4.82,2.98
88,24494,2.23,4,7,4,60.5,61.0,12770,8.47,8.4,5.1
89,52804,0.71,4,3,6,61.0,59.0,2571,5.72,5.69,3.48
90,17155,1.09,3,2,3,61.8,55.0,6849,6.65,6.58,4.09
91,19876,1.31,3,5,5,61.5,55.0,8429,7.02,7.05,4.33
92,26740,1.7,4,4,5,61.0,59.0,16521,7.7,7.64,4.68
93,2008,0.9,3,7,3,62.6,54.0,3102,6.16,6.23,3.88
94,13058,1.01,5,2,3,62.8,57.0,5411,6.35,6.39,4.0
95,47662,0.23,5,2,8,61.8,58.0,530,3.92,3.94,2.43
96,36717,0.42,5,4,8,61.2,56.0,954,4.84,4.86,2.97
97,25897,1.51,4,2,6,60.1,58.0,15025,7.57,7.51,4.53
98,8510,1.03,1,4,3,64.7,63.0,4424,6.36,6.31,4.1
99,45845,0.5,2,4,8,63.4,57.0,1715,5.06,5.1,3.22
100,30190,0.42,5,3,3,60.6,61.0,722,4.83,4.87,2.94
101,7180,1.01,5,4,3,63.3,57.0,4185,6.37,6.35,4.02
102,49282,0.52,5,2,5,58.9,64.0,2092,5.23,5.3,3.1
103,12680,1.09,3,3,4,62.0,56.0,5306,6.62,6.58,4.09
104,33614,0.31,2,1,4,63.7,55.0,462,4.32,4.35,2.76
105,50333,0.61,3,4,8,61.6,54.0,2242,5.45,5.49,3.37
106,2729,0.31,3,1,3,61.7,55.0,565,4.37,4.41,2.71
107,49253,0.73,3,3,4,61.7,57.0,2087,5.78,5.82,3.58
108,35988,0.42,3,4,5,62.5,54.0,921,4.79,4.84,3.01
109,51480,0.78,2,2,4,64.0,57.0,2379,5.84,5.81,3.73
110,9987,1.12,4,6,3,60.8,57.0,4704,6.76,6.7,4.09
111,35172,0.31,3,4,2,61.3,54.0,891,4.38,4.4,2.69
112,50380,0.7,5,3,6,63.5,56.0,2250,5.64,5.45,3.52
113,51118,0.7,1,4,6,65.3,57.0,2338,5.58,5.47,3.61
114,10439,1.0,2,1,3,65.1,54.0,4786,6.23,6.27,4.07
115,12668,1.01,4,5,6,61.5,59.0,5303,6.48,6.49,3.99
116,17841,1.7,3,5,1,62.6,54.0,7197,7.63,7.58,4.77
117,3799,1.0,2,6,4,63.9,60.0,3465,6.26,6.3,4.01
118,4918,0.7,3,4,8,61.6,57.0,3725,5.74,5.71,3.53
119,26476,2.13,2,5,4,59.2,58.0,16062,8.35,8.41,4.96
120,13206,1.11,3,5,3,61.6,56.0,5456,6.69,6.65,4.11
121,49550,0.55,3,4,8,62.5,56.0,2129,5.25,5.22,3.27
122,21505,1.03,3,3,7,62.6,57.0,9598,6.49,6.38,4.03
123,24023,2.0,5,7,3,62.2,59.0,12196,7.92,7.97,4.94
124,13373,0.24,3,3,6,62.2,57.0,419,3.96,4.01,2.48
125,43639,0.5,4,3,6,60.6,61.0,1433,5.13,5.1,3.1
126,28578,0.3,5,5,5,63.3,57.0,675,4.25,4.22,2.68
127,32686,0.31,5,4,5,63.2,57.0,802,4.33,4.28,2.72
128,29436,0.42,4,5,3,60.9,58.0,700,4.84,4.85,2.95
129,8368,1.0,2,2,4,63.5,54.0,4400,6.35,6.41,4.05
130,37593,0.24,5,2,8,58.9,63.0,485,4.05,4.07,2.39
131,8880,1.02,3,7,6,62.0,56.0,4485,6.42,6.45,3.99
132,29093,0.36,4,1,4,60.9,58.0,689,4.63,4.6,2.81
133,13399,0.32,5,3,6,63.0,57.0,602,4.33,4.37,2.74
134,39085,0.51,3,6,6,60.6,57.0,1060,5.16,5.21,3.14
135,53059,0.54,4,2,5,62.7,60.0,2608,5.14,5.1,3.21
136,23125,1.77,3,7,5,62.2,56.0,11150,7.77,7.73,4.82
137,6994,1.06,4,3,3,61.9,59.0,4155,6.57,6.52,4.05
138,43624,0.38,3,2,2,62.7,55.0,1433,4.61,4.67,2.91
139,44727,0.51,5,1,5,58.8,60.0,1616,5.18,5.26,3.07
140,18885,1.0,4,2,5,60.4,59.0,7744,6.51,6.54,3.94
141,45920,0.53,3,2,6,62.1,56.0,1721,5.17,5.2,3.22
142,32693,0.31,5,4,5,63.2,56.0,802,4.29,4.28,2.71
143,18273,2.03,4,5,1,59.4,59.0,7421,8.31,8.22,4.91
144,9314,1.11,3,5,4,62.7,57.0,4578,6.59,6.66,4.14
145,24238,2.11,4,7,4,60.7,60.0,12440,8.2,8.27,5.0
146,13114,1.02,4,2,3,62.8,58.0,5429,6.45,6.39,4.03
147,29103,0.34,3,5,6,62.2,56.0,689,4.53,4.48,2.8
148,32128,0.41,2,6,3,63.8,57.0,784,4.7,4.67,2.99
149,34264,0.31,5,7,3,63.5,55.0,465,4.33,4.3,2.74
150,15975,1.27,3,6,5,62.8,57.0,6396,6.86,6.89,4.32
151,47935,0.56,4,2,6,61.9,55.0,1915,5.31,5.25,3.27
152,50855,0.7,5,2,3,60.3,60.0,2312,5.77,5.81,3.49
153,38923,0.51,4,3,4,58.1,59.0,1052,5.26,5.24,3.05
154,49193,0.61,2,3,5,61.9,60.0,2076,5.39,5.41,3.34
155,46577,0.56,5,2,3,58.5,59.0,1785,5.42,5.45,3.18
156,1221,0.81,3,6,6,61.8,56.0,2939,6.02,5.99,3.71
157,50029,0.62,3,5,7,61.1,56.0,2197,5.48,5.52,3.36
158,44901,0.76,4,4,1,63.0,55.0,1629,5.83,5.74,3.65
159,38410,0.35,4,4,8,62.2,58.0,1024,4.54,4.49,2.81
160,16107,1.23,3,5,3,61.0,56.0,6439,6.96,6.92,4.23
161,31264,0.32,2,5,3,63.1,55.0,449,4.34,4.37,2.75
162,40805,0.63,4,2,4,58.9,59.0,1169,5.64,5.6,3.31
163,34038,0.33,3,2,5,60.9,57.0,850,4.47,4.5,2.73
164,45404,0.51,2,1,6,63.5,56.0,1668,5.04,5.1,3.22
165,13131,1.05,4,2,3,61.2,58.0,5433,6.57,6.53,4.01
166,49220,0.5,2,4,2,64.0,55.0,2081,5.08,5.05,3.24
167,8780,1.0,4,5,3,62.7,60.0,4469,6.3,6.24,3.93
168,7479,1.0,3,6,3,62.8,56.0,4237,6.33,6.38,3.99
169,24867,2.02,2,6,3,64.3,56.0,13286,7.85,7.99,5.09
170,19635,1.5,2,6,3,61.1,63.0,8254,7.27,7.34,4.46
171,30536,0.39,5,4,6,60.4,61.0,734,4.71,4.73,2.85
172,45425,0.51,1,1,6,64.4,54.0,1668,5.06,5.03,3.25
173,17823,1.08,3,4,6,62.3,54.0,7187,6.59,6.61,4.11
174,18622,1.09,5,3,5,62.9,58.0,7598,6.51,6.55,4.11
175,35110,0.3,3,3,2,62.1,55.0,886,4.32,4.35,2.69
176,2360,0.9,3,7,5,62.5,55.0,3175,6.18,6.14,3.85
177,33261,0.34,3,2,8,62.3,55.0,826,4.49,4.53,2.81
178,36356,0.34,5,3,7,61.0,56.0,939,4.52,4.53,2.76
179,1281,0.81,3,5,3,62.3,58.0,2951,5.95,5.96,3.71
180,15703,0.24,5,3,8,61.8,56.0,608,4.01,4.04,2.48
181,35792,0.32,3,3,7,62.6,56.0,913,4.37,4.41,2.75
182,27975,0.3,5,2,6,62.4,56.0,658,4.25,4.28,2.66
183,25623,1.58,3,3,3,61.9,55.0,14495,7.52,7.47,4.64
184,37160,0.32,3,1,6,62.7,57.0,972,4.44,4.4,2.77
185,34858,0.3,2,4,8,63.6,57.0,878,4.3,4.26,2.72
186,1246,0.85,2,4,3,64.9,56.0,2945,5.95,5.98,3.87
187,48211,0.57,3,3,5,62.6,56.0,1949,5.27,5.33,3.32
188,47112,0.87,3,4,1,61.5,57.0,1827,6.09,6.04,3.73
189,32618,0.3,3,5,6,62.0,57.0,457,4.27,4.31,2.66
190,15731,1.51,1,5,4,64.5,59.0,6291,7.21,7.15,4.63
191,46653,0.51,3,1,6,61.9,57.0,1787,5.11,5.13,3.17
192,15035,0.3,3,3,6,61.9,55.0,605,4.31,4.32,2.67
193,27665,2.05,3,5,6,61.6,57.0,18659,8.2,8.14,5.03
194,46768,0.73,1,7,5,64.6,60.0,1802,5.68,5.59,3.64
195,16671,1.26,4,5,3,62.2,58.0,6664,6.93,6.87,4.29
196,31168,0.41,2,3,3,63.3,57.0,755,4.69,4.72,2.98
197,12949,0.9,5,2,3,61.4,56.0,5387,6.19,6.23,3.81
198,20629,1.0,4,3,8,60.6,54.0,8924,6.56,6.52,3.96
199,10810,1.0,5,2,3,62.1,57.0,4864,6.35,6.4,3.96
200,24314,1.73,5,6,5,62.2,59.0,12559,7.62,7.65,4.75
201,11645,1.14,5,5,6,59.9,57.0,5053,6.78,6.81,4.07
202,53658,0.76,4,3,3,62.0,60.0,2706,5.88,5.76,3.61
203,52434,0.7,5,6,7,62.9,58.0,2513,5.65,5.67,3.56
204,25961,2.01,5,6,3,64.1,57.0,15145,7.89,7.94,5.07
205,1975,0.8,4,2,3,62.9,60.0,3091,5.89,5.87,3.7
206,46585,0.55,5,2,6,61.4,57.0,1786,5.27,5.29,3.24
207,4740,0.92,4,2,4,61.8,59.0,3679,6.19,6.11,3.8
208,29066,0.4,2,3,3,63.1,58.0,687,4.66,4.69,2.95
209,5205,1.04,4,4,3,60.3,58.0,3780,6.6,6.55,3.96
210,21474,1.32,3,5,7,62.1,55.0,9572,6.98,7.03,4.35
211,43824,0.51,5,2,3,63.2,61.0,1443,5.08,5.05,3.2
212,22978,1.52,3,4,3,60.3,57.0,11028,7.58,7.48,4.54
213,4879,0.9,5,2,4,62.2,54.0,3715,6.13,6.21,3.84
214,41028,0.41,3,2,8,61.0,56.0,1187,4.79,4.82,2.93
215,43984,0.26,3,4,3,62.2,54.0,394,4.11,4.12,2.56
216,42124,0.56,3,3,4,61.4,57.0,1279,5.3,5.33,3.26
217,10453,1.0,4,5,3,62.1,56.0,4788,6.48,6.38,3.99
218,46344,0.7,3,2,3,62.3,56.0,1758,5.68,5.62,3.52
219,23591,1.51,4,3,3,62.2,59.0,11607,7.34,7.3,4.55
220,12496,1.0,5,2,3,59.6,60.0,5257,6.58,6.51,3.9
221,5055,0.31,5,5,3,63.1,57.0,573,4.34,4.31,2.73
222,36762,0.35,3,3,8,62.1,56.0,956,4.56,4.52,2.82
223,47733,0.7,5,6,3,63.2,59.0,1890,5.59,5.62,3.54
224,37406,0.51,3,5,4,61.9,54.0,983,5.13,5.15,3.18
225,12474,1.02,3,5,3,60.8,58.0,5251,6.47,6.49,3.94
226,12691,0.26,5,2,8,61.7,60.0,599,4.11,4.12,2.54
227,1175,0.7,3,2,3,60.1,57.0,2929,5.78,5.83,3.49
228,8145,0.96,3,4,3,62.6,57.0,4355,6.28,6.24,3.92
229,28240,0.33,3,4,5,62.1,56.0,666,4.4,4.42,2.74
230,2758,0.9,2,4,3,64.2,58.0,3250,6.04,6.01,3.87
231,36711,0.33,3,2,8,61.8,56.0,953,4.46,4.44,2.75
232,8247,1.04,5,4,4,62.6,58.0,4375,6.42,6.49,4.04
233,30296,0.3,5,1,4,63.0,55.0,447,4.25,4.26,2.68
234,36503,0.3,1,2,8,51.0,67.0,945,4.67,4.62,2.37
235,10317,1.03,4,1,4,61.3,61.0,4764,6.49,6.46,3.97
236,2807,0.72,5,3,5,63.4,57.0,3264,5.68,5.7,3.61
237,22905,1.51,5,4,3,61.5,54.0,10947,7.35,7.42,4.54
238,14606,1.21,4,7,7,61.3,59.0,5893,6.81,6.86,4.19
239,22573,1.51,4,6,8,61.1,60.0,10623,7.33,7.36,4.49
240,35895,0.32,3,4,2,61.7,54.0,918,4.42,4.46,2.74
241,42750,0.51,5,5,5,62.5,58.0,1343,5.09,5.12,3.19
242,40011,0.41,3,3,6,61.8,57.0,1107,4.78,4.73,2.94
243,20268,1.21,3,3,6,62.4,59.0,8691,6.82,6.77,4.24
244,21208,1.52,3,6,6,62.4,55.0,9352,7.35,7.4,4.6
245,2893,0.92,1,3,4,65.3,58.0,3282,6.08,6.04,3.96
246,23449,1.59,4,5,6,62.1,58.0,11437,7.48,7.42,4.63
247,9167,0.98,5,4,4,62.2,57.0,4542,6.33,6.37,3.95
248,14343,1.22,3,6,3,60.2,57.0,5807,6.99,6.93,4.19
249,23743,2.0,4,7,5,62.0,62.0,11793,8.02,7.91,4.94
250,39823,0.57,4,6,4,62.1,57.0,1097,5.33,5.29,3.3
251,21453,1.52,5,3,4,62.1,58.0,9552,7.26,7.34,4.53
252,47552,0.51,3,1,5,62.5,57.0,1873,5.13,5.08,3.19
253,35727,0.3,3,1,6,62.3,54.0,911,4.34,4.29,2.69
254,26996,1.93,4,5,5,60.5,60.0,17096,8.06,7.98,4.85
255,50183,0.66,3,5,5,62.7,55.0,2222,5.6,5.57,3.5
256,8899,0.79,4,2,7,62.8,60.0,4490,5.89,5.8,3.67
257,20348,1.64,4,6,4,61.3,58.0,8743,7.62,7.58,4.66
258,19018,2.11,5,4,1,63.2,57.0,7834,8.13,8.07,5.12
259,21155,1.65,4,5,5,60.9,62.0,9314,7.58,7.51,4.6
260,32240,0.43,3,6,5,62.2,53.0,789,4.86,4.91,3.04
261,36571,0.72,4,7,1,62.9,59.0,945,5.8,5.63,3.58
262,50524,0.71,5,4,3,63.3,56.0,2274,5.66,5.69,3.59
263,5246,1.0,5,3,4,61.7,58.0,3789,6.32,6.36,3.91
264,8440,1.25,4,7,4,62.3,59.0,4410,6.86,6.82,4.26
265,20759,1.07,3,2,5,60.0,58.0,8998,6.66,6.7,4.01
266,49168,0.62,3,3,5,62.3,56.0,2073,5.43,5.46,3.39
267,25434,1.55,3,3,6,62.6,57.0,14185,7.35,7.39,4.61
268,18027,1.02,5,4,8,61.3,59.0,7292,6.46,6.53,3.98
269,48923,0.7,4,4,3,61.2,60.0,2042,5.7,5.74,3.5
270,28848,0.41,4,5,3,62.0,59.0,683,4.78,4.8,2.97
271,14598,1.23,2,5,3,63.9,56.0,5889,6.81,6.77,4.34
272,36226,0.38,4,3,5,60.9,58.0,933,4.68,4.71,2.86
273,7258,1.19,4,7,4,58.4,60.0,4198,6.98,6.92,4.06
274,6537,1.1,3,2,4,59.4,54.0,4071,6.79,6.74,4.02
275,25233,2.14,3,6,6,62.2,57.0,13844,8.22,8.19,5.1
276,51549,0.52,3,4,7,60.6,57.0,2387,5.21,5.26,3.17
277,49530,0.61,2,2,6,60.8,59.0,2124,5.41,5.48,3.31
278,33074,0.4,2,1,6,64.4,56.0,814,4.62,4.67,2.99
279,19626,1.02,3,2,5,60.1,57.0,8244,6.59,6.52,3.94
280,2463,0.7,3,3,8,62.0,55.0,3191,5.71,5.67,3.53
281,12956,1.0,4,5,5,61.5,57.0,5387,6.44,6.37,3.94
282,24865,1.52,4,4,6,61.9,56.0,13282,7.39,7.28,4.54
283,32415,0.41,3,1,3,61.4,56.0,791,4.77,4.8,2.94
284,18692,0.29,3,2,6,60.1,56.0,619,4.3,4.34,2.6
285,38131,0.3,4,4,7,61.9,59.0,1013,4.31,4.28,2.66
286,22935,2.0,4,6,4,60.0,58.0,10976,8.23,8.17,4.92
287,26885,2.42,3,5,4,62.3,57.0,16826,8.62,8.55,5.35
288,41603,0.3,5,5,3,58.7,63.0,393,4.32,4.37,2.55
289,52205,0.7,3,4,3,61.3,56.0,2480,5.73,5.78,3.53
290,20779,1.0,3,3,8,59.7,60.0,9014,6.48,6.52,3.88
291,25644,1.51,3,4,5,61.1,57.0,14542,7.38,7.41,4.52
292,18500,1.5,4,4,3,62.3,60.0,7535,7.27,7.17,4.5
293,1655,0.73,5,3,3,61.3,56.0,3023,5.78,5.84,3.56
294,9841,1.08,3,4,4,61.9,58.0,4675,6.55,6.57,4.06
295,9069,1.13,4,4,4,60.0,61.0,4518,6.78,6.71,4.05
296,19886,1.03,5,1,5,60.5,60.0,8437,6.52,6.57,3.96
297,50824,0.64,3,5,7,62.2,58.0,2308,5.49,5.51,3.42
298,35311,0.36,3,3,8,62.4,55.0,896,4.54,4.57,2.84
299,5567,0.8,3,3,5,61.2,56.0,3860,5.98,6.01,3.67
300,7964,1.09,5,1,4,59.2,63.0,4322,6.71,6.67,3.96
301,27363,0.28,4,2,8,60.1,59.0,646,4.22,4.26,2.55
302,11749,1.07,3,3,4,62.0,56.0,5077,6.51,6.55,4.09
303,37469,0.42,3,4,5,61.8,57.0,984,4.82,4.79,2.97
304,41129,0.41,5,4,2,60.9,59.0,1197,4.8,4.85,2.94
305,7722,0.26,4,2,6,62.1,56.0,580,4.13,4.11,2.56
306,23353,0.3,3,6,3,62.5,58.0,422,4.25,4.29,2.67
307,42734,0.51,3,2,3,61.1,56.0,1343,5.17,5.2,3.17
308,23964,1.7,3,6,5,60.1,57.0,12099,7.8,7.77,4.68
309,9584,1.0,5,1,4,63.2,57.0,4628,6.24,6.32,3.97
310,5187,0.9,4,4,3,62.7,58.0,3774,6.13,6.08,3.83
311,1372,0.85,5,2,4,63.1,58.0,2966,6.02,6.0,3.79
312,18905,1.52,4,7,6,62.0,59.0,7758,7.28,7.31,4.52
313,13802,1.21,3,5,4,62.6,56.0,5624,6.84,6.77,4.26
314,31689,0.4,5,5,5,61.8,53.0,770,4.76,4.78,2.95
315,27393,2.04,5,5,3,63.0,58.0,17952,8.03,8.1,5.08
316,41845,0.41,5,3,2,63.3,56.0,1255,4.69,4.75,2.99
317,34965,0.23,5,3,8,60.8,59.0,472,3.97,3.99,2.42
318,32947,0.34,3,6,3,61.9,57.0,459,4.44,4.48,2.76
319,52350,0.75,5,3,3,62.1,57.0,2500,5.82,5.88,3.63
320,10388,0.31,3,4,3,62.2,55.0,593,4.38,4.36,2.72
321,30976,0.37,3,3,6,60.6,56.0,746,4.63,4.64,2.81
322,8939,1.01,4,3,4,62.6,60.0,4497,6.37,6.35,3.98
323,47709,0.57,3,2,5,61.6,55.0,1884,5.32,5.36,3.29
324,36616,0.32,3,4,3,62.5,55.0,477,4.35,4.38,2.73
325,51301,0.31,4,2,3,59.3,59.0,544,4.42,4.48,2.64
326,44125,0.5,4,2,6,62.6,58.0,1559,5.07,5.12,3.19
327,50173,0.51,5,1,8,62.4,58.0,2220,5.1,5.13,3.19
328,16962,1.12,3,4,6,62.2,54.0,6774,6.65,6.62,4.13
329,19574,1.09,4,3,5,60.9,58.0,8204,6.67,6.63,4.05
330,2672,0.71,3,2,5,60.4,56.0,3238,5.8,5.85,3.52
331,50769,0.71,1,4,3,65.5,55.0,2300,5.59,5.56,3.65
332,10127,1.11,3,5,4,62.6,56.0,4719,6.58,6.65,4.14
333,20075,1.01,3,3,5,61.7,56.0,8552,6.48,6.45,3.99
334,8321,1.0,4,2,4,60.6,61.0,4390,6.44,6.39,3.89
335,15199,1.21,3,3,4,61.8,57.0,6105,6.87,6.82,4.23
336,24781,1.52,3,4,6,61.5,56.0,13153,7.38,7.45,4.56
337,2885,0.71,5,4,8,62.8,58.0,3281,5.69,5.75,3.59
338,1901,0.76,3,2,6,61.3,56.0,3079,5.79,5.83,3.56
339,31322,0.32,3,1,6,60.5,56.0,758,4.45,4.48,2.7
340,25813,2.16,5,5,4,62.3,60.0,14824,8.19,8.31,5.14
341,36150,0.33,3,2,6,61.5,57.0,928,4.47,4.41,2.73
342,11475,1.0,2,1,3,64.8,58.0,5013,6.23,6.27,4.05
343,6689,1.2,5,7,4,61.8,56.0,4102,6.81,6.85,4.22
344,28177,0.3,5,1,5,60.1,58.0,666,4.35,4.37,2.62
345,25696,0.33,3,2,3,59.6,57.0,644,4.53,4.49,2.69
346,38730,0.4,3,4,7,62.4,54.0,1043,4.74,4.78,2.97
347,21048,0.31,3,4,5,62.4,55.0,625,4.33,4.35,2.71
348,34369,0.41,3,3,6,62.3,57.0,863,4.75,4.78,2.97
349,2630,0.74,4,2,6,62.7,58.0,3228,5.77,5.72,3.6
350,10424,1.24,3,7,4,60.1,57.0,4783,7.02,6.98,4.21
351,50768,0.71,4,6,6,60.4,60.0,2300,5.8,5.72,3.48
352,34377,0.41,3,3,6,61.4,55.0,863,4.78,4.83,2.95
353,35900,0.32,3,4,2,61.9,55.0,918,4.38,4.44,2.73
354,48318,0.31,3,6,7,61.2,55.6,536,4.33,4.38,2.67
355,31405,0.3,3,4,7,61.7,57.0,764,4.31,4.35,2.67
356,7481,0.91,4,5,6,61.8,60.0,4238,6.22,6.18,3.83
357,23859,1.51,3,3,3,62.4,56.0,11950,7.34,7.4,4.6
358,44073,0.59,5,5,6,61.8,56.0,1552,5.37,5.41,3.33
359,4465,0.7,5,1,8,62.3,56.0,3622,5.66,5.7,3.54
360,18775,1.02,4,3,5,62.7,55.0,7677,6.43,6.37,4.01
361,20057,0.31,3,4,5,62.1,55.0,625,4.33,4.37,2.7
362,34849,0.3,3,4,8,63.0,57.0,878,4.32,4.28,2.71
363,13752,1.0,4,3,6,59.9,60.0,5606,6.11,6.07,3.65
364,14774,1.01,4,4,6,61.8,59.0,5946,6.45,6.4,3.97
365,17680,1.01,4,3,5,62.4,61.0,7127,6.39,6.36,3.98
366,14526,1.01,4,4,6,62.1,59.0,5864,6.43,6.38,3.98
367,12102,1.13,3,6,6,62.2,55.0,5165,6.69,6.67,4.15
368,44822,0.52,3,3,6,61.3,57.0,1624,5.22,5.19,3.19
